Origin,Mode,Year,Value,Tons,Total_miles,Mean_miles
Kentucky,All modes,2007,241879,408434,111257,488
Kentucky,Single modes,2012,228552,276606,80358,506
Kentucky,Single modes,2007,206704,385685,96765,224
Kentucky,Truck,2012,199843,151111,25279,426
Kentucky,Truck,2007,164037,207000,25016,184
Kentucky,For-hire truck,2012,154152,91989,22336,683
Kentucky,For-hire truck,2007,104092,120524,19329,335
Kentucky,Private truck,2012,45691,59122,2943,48
Kentucky,Private truck,2007,59945,86476,5687,88
Kentucky,Rail,2012,9047,53718,26802,496
Kentucky,Rail,2007,S,126808,64033,685
Kentucky,Water,2012,4513,S,S,414
Kentucky,Water,2007,2210,36754,7567,251
Kentucky,Inland water,2012,4030,S,S,372
Kentucky,Inland water,2007,2210,36754,7567,251
Kentucky,Multiple Waterways,2012,S,S,S,1115
Kentucky,Multiple Waterways,2007,X,X,X,X
Kentucky,Air (incl truck and air),2012,4210,78,80,953
Kentucky,Air (incl truck and air),2007,1082,37,46,1159
Kentucky,Pipeline,2012,10938,11984,S,S
Kentucky,Pipeline,2007,S,S,S,S
Kentucky,Multiple modes,2012,39978,9206,7936,827
Kentucky,Multiple modes,2007,17714,19309,14278,758
Kentucky,"Parcel, U.S.P.S. or courier",2012,31124,569,466,825
Kentucky,"Parcel, U.S.P.S. or courier",2007,11188,314,214,750
Kentucky,Truck and rail,2012,8508,3246,3229,1532
Kentucky,Truck and rail,2007,4834,3539,2992,2004
Kentucky,Truck and water,2012,59,506,396,2146
Kentucky,Truck and water,2007,S,7695,5965,2708
Kentucky,Rail and water,2012,S,S,S,754
Kentucky,Rail and water,2007,S,S,S,S
Kentucky,Other multiple modes,2012,S,4,18,4705
Kentucky,Other multiple modes,2007,860,4486,4255,1624
Kentucky,Other modes,2012,0,0,0,0
Kentucky,Other modes,2007,17461,3440,214,S
Louisiana,All modes,2012,349658,438166,138352,215
Louisiana,All modes,2007,269932,475520,107733,279
Louisiana,Single modes,2012,331751,427885,131436,102
Louisiana,Single modes,2007,233168,428604,86966,191
Louisiana,Truck,2012,114670,118049,22488,90
Louisiana,Truck,2007,100403,174256,26703,136
Louisiana,For-hire truck,2012,68363,73209,19755,247
Louisiana,For-hire truck,2007,58254,96310,23180,381
Louisiana,Private truck,2012,46306,44839,2733,40
Louisiana,Private truck,2007,42149,77946,3523,54
Louisiana,Rail,2012,36129,47892,37353,789
Louisiana,Rail,2007,29502,47597,30047,792
Louisiana,Water,2012,103011,172691,67256,396
Louisiana,Water,2007,38905,103587,25342,230
Louisiana,Inland water,2012,70740,126523,36228,370
Louisiana,Inland water,2007,32834,90159,17838,150
Louisiana,Deep sea,2012,S,28368,S,628
Louisiana,Deep sea,2007,S,13428,S,893
Louisiana,Multiple Waterways,2012,13885,17800,20675,S
Louisiana,Multiple Waterways,2007,X,X,X,X
Louisiana,Air (incl truck and air),2012,903,18,27,1478
Louisiana,Air (incl truck and air),2007,891,S,S,1144
Louisiana,Pipeline,2012,77038,89236,S,S
Louisiana,Pipeline,2007,63468,103146,S,S
Louisiana,Multiple modes,2012,17907,10281,6915,481
Louisiana,Multiple modes,2007,34164,44263,20191,552
Louisiana,"Parcel, U.S.P.S. or courier",2012,6657,144,61,472
Louisiana,"Parcel, U.S.P.S. or courier",2007,8712,231,126,547
Louisiana,Truck and rail,2012,9338,6215,4439,1225
Louisiana,Truck and rail,2007,7271,4662,4373,1014
Louisiana,Truck and water,2012,S,S,S,2085
Louisiana,Truck and water,2007,7102,13125,3358,S
Louisiana,Rail and water,2012,S,S,S,S
Louisiana,Rail and water,2007,S,1564,1579,789
Louisiana,Other multiple modes,2012,0,0,0,0
Louisiana,Other multiple modes,2007,10183,24681,10755,513
Louisiana,Other modes,2012,0,0,0,0
Louisiana,Other modes,2007,2600,2654,S,69
Maine,All modes,2012,38545,44888,9628,606
Maine,All modes,2007,30893,42786,9826,430
Maine,Single modes,2012,33344,44116,8956,109
Maine,Single modes,2007,26533,41245,8312,150
Maine,Truck,2012,30752,41552,7565,98
Maine,Truck,2007,24982,38853,6488,136
Maine,For-hire truck,2012,14693,19002,6369,238
Maine,For-hire truck,2007,11339,12942,5109,521
Maine,Private truck,2012,16059,22550,1196,49
Maine,Private truck,2007,13642,25910,1378,50
Maine,Rail,2012,1037,2170,1385,721
Maine,Rail,2007,1168,2310,1810,829
Maine,Water,2012,S,S,S,S
Maine,Water,2007,S,S,S,S
Maine,Inland water,2012,0,0,0,0
Maine,Inland water,2007,S,S,S,S
Maine,Deep sea,2012,S,S,S,S
Maine,Deep sea,2007,0,0,0,0
Maine,Air (incl truck and air),2012,261,3,3,1636
Maine,Air (incl truck and air),2007,329,4,6,1607
Maine,Pipeline,2012,22,383,S,S
Maine,Pipeline,2007,S,S,S,S
Maine,Multiple modes,2012,5200,772,673,1076
Maine,Multiple modes,2007,3996,1099,1435,920
Maine,"Parcel, U.S.P.S. or courier",2012,4639,81,66,1076
Maine,"Parcel, U.S.P.S. or courier",2007,3181,60,52,919
Maine,Truck and rail,2012,513,638,598,1208
Maine,Truck and rail,2007,770,1019,1348,1515
Maine,Truck and water,2012,S,S,S,S
Maine,Truck and water,2007,43,S,S,1327
Maine,Rail and water,2012,0,0,0,0
Maine,Rail and water,2007,S,S,S,S
Maine,Other multiple modes,2012,0,0,0,0
Maine,Other multiple modes,2007,S,S,S,S
Maine,Other modes,2012,0,0,0,0
Maine,Other modes,2007,364,S,79,S
Maryland,All modes,2012,162416,101222,12042,223
Maryland,All modes,2007,131252,127630,16713,354
Maryland,Single modes,2012,140960,98796,10567,63
Maryland,Single modes,2007,110214,124318,14086,94
Maryland,Truck,2012,138127,94798,9215,59
Maryland,Truck,2007,105910,121437,12820,83
Maryland,For-hire truck,2012,78914,46406,7186,224
Maryland,For-hire truck,2007,52484,51499,9042,216
Maryland,Private truck,2012,59213,48392,2029,S
Maryland,Private truck,2007,53426,69938,3778,43
Maryland,Rail,2012,879,3131,1174,525
Maryland,Rail,2007,1172,2815,1214,423
Maryland,Water,2012,S,840,161,345
Maryland,Water,2007,S,S,S,S
Maryland,Inland water,2012,S,778,151,346
Maryland,Inland water,2007,S,S,S,4
Maryland,Deep sea,2012,0,0,0,0
Maryland,Deep sea,2007,S,S,S,S
Maryland,Multiple Waterways,2012,S,S,S,S
Maryland,Multiple Waterways,2007,X,X,X,X
Maryland,Air (incl truck and air),2012,1860,20,17,1159
Maryland,Air (incl truck and air),2007,3109,S,S,1007
Maryland,Pipeline,2012,S,S,S,S
Maryland,Pipeline,2007,0,0,S,S
Maryland,Multiple modes,2012,21457,S,1475,716
Maryland,Multiple modes,2007,18830,2049,2364,779
Maryland,"Parcel, U.S.P.S. or courier",2012,20558,441,347,716
Maryland,"Parcel, U.S.P.S. or courier",2007,17025,428,295,778
Maryland,Truck and rail,2012,S,S,1127,995
Maryland,Truck and rail,2007,1553,1337,S,1272
Maryland,Truck and water,2012,11,Z,1,S
Maryland,Truck and water,2007,154,S,32,1376
Maryland,Rail and water,2012,0,0,0,0
Maryland,Rail and water,2007,97,2,S,212
Maryland,Other multiple modes,2012,0,0,0,0
Maryland,Other multiple modes,2007,S,S,S,S
Maryland,Other modes,2012,0,0,0,0
Maryland,Other modes,2007,2209,1263,S,78
Massachusetts,All modes,2012,235932,109368,13472,504
Massachusetts,All modes,2007,212121,128169,13335,465
Massachusetts,Single modes,2012,177721,108403,12497,189
Massachusetts,Single modes,2007,157650,124295,12039,111
Massachusetts,Truck,2012,159947,107657,12029,137
Massachusetts,Truck,2007,149201,123511,11364,92
Massachusetts,For-hire truck,2012,88587,41906,9470,512
Massachusetts,For-hire truck,2007,83383,50797,8528,501
Massachusetts,Private truck,2012,71360,65751,2558,30
Massachusetts,Private truck,2007,65818,72713,2837,27
Massachusetts,Rail,2012,1251,513,187,725
Massachusetts,Rail,2007,484,709,606,982
Massachusetts,Water,2012,S,S,S,S
Massachusetts,Water,2007,S,S,S,S
Massachusetts,Deep sea,2012,0,0,0,0
Massachusetts,Deep sea,2007,S,S,S,S
Massachusetts,Multiple Waterways,2012,S,S,S,S
Massachusetts,Multiple Waterways,2007,X,X,X,X
Massachusetts,Air (incl truck and air),2012,16515,226,281,1197
Massachusetts,Air (incl truck and air),2007,7959,71,67,1178
Massachusetts,Pipeline,2012,S,S,S,S
Massachusetts,Pipeline,2007,0,0,S,S
Massachusetts,Multiple modes,2012,58210,964,975,821
Massachusetts,Multiple modes,2007,48332,1196,1094,897
Massachusetts,"Parcel, U.S.P.S. or courier",2012,57838,554,419,820
Massachusetts,"Parcel, U.S.P.S. or courier",2007,46585,952,732,896
Massachusetts,Truck and rail,2012,364,402,552,1266
Massachusetts,Truck and rail,2007,1385,181,295,1055
Massachusetts,Truck and water,2012,8,S,S,2648
Massachusetts,Truck and water,2007,362,63,67,S
Massachusetts,Other modes,2012,0,0,0,0
Massachusetts,Other modes,2007,6139,2678,202,142
Michigan,All modes,2012,427177,258965,61455,582
Michigan,All modes,2007,409172,282752,66965,430
Michigan,Single modes,2012,354140,243432,52526,436
Michigan,Single modes,2007,343129,258066,54480,186
Michigan,Truck,2012,334655,169882,30937,324
Michigan,Truck,2007,303534,204416,38094,168
Michigan,For-hire truck,2012,223750,89968,26008,609
Michigan,For-hire truck,2007,171531,94217,30129,538
Michigan,Private truck,2012,110904,79913,4929,51
Michigan,Private truck,2007,132004,110200,7965,55
Michigan,Rail,2012,8095,36797,9388,354
Michigan,Rail,2007,32814,30389,10396,840
Michigan,Water,2012,441,31751,11508,348
Michigan,Water,2007,300,16823,5725,258
Michigan,Inland water,2012,0,0,0,0
Michigan,Inland water,2007,S,S,S,S
Michigan,Great Lakes,2012,272,29380,10811,358
Michigan,Great Lakes,2007,241,16215,5502,253
Michigan,Multiple Waterways,2012,169,2371,697,298
Michigan,Multiple Waterways,2007,X,X,X,X
Michigan,Air (incl truck and air),2012,6515,184,216,1123
Michigan,Air (incl truck and air),2007,2977,41,45,1073
Michigan,Pipeline,2012,4433,4819,S,S
Michigan,Pipeline,2007,S,S,S,S
Michigan,Multiple modes,2012,73038,15532,8929,789
Michigan,Multiple modes,2007,61199,20403,11094,734
Michigan,"Parcel, U.S.P.S. or courier",2012,40558,652,487,788
Michigan,"Parcel, U.S.P.S. or courier",2007,38414,858,617,728
Michigan,Truck and rail,2012,31862,5606,5094,1036
Michigan,Truck and rail,2007,22236,7243,5597,1475
Michigan,Truck and water,2012,308,8302,3065,2352
Michigan,Truck and water,2007,213,5568,S,3623
Michigan,Rail and water,2012,S,S,225,3356
Michigan,Rail and water,2007,89,16,102,7629
Michigan,Other multiple modes,2012,S,S,S,S
Michigan,Other multiple modes,2007,247,6718,2011,3200
Michigan,Other modes,2012,0,0,0,0
Michigan,Other modes,2007,4845,4282,1392,71
Minnesota,All modes,2012,270394,291694,101362,998
Minnesota,All modes,2007,237290,285018,114425,639
Minnesota,Single modes,2012,224018,272987,82823,313
Minnesota,Single modes,2007,174729,248002,81536,200
Minnesota,Truck,2012,198889,188948,30834,282
Minnesota,Truck,2007,151458,165312,31270,162
Minnesota,For-hire truck,2012,134161,98817,26144,613
Minnesota,For-hire truck,2007,101195,91385,25667,581
Minnesota,Private truck,2012,64728,90131,4690,53
Minnesota,Private truck,2007,50263,73928,5602,42
Minnesota,Rail,2012,14751,73138,42627,931
Minnesota,Rail,2007,9151,60364,37065,770
Minnesota,Water,2012,1678,10654,9283,1530
Minnesota,Water,2007,1555,8610,13055,1177
Minnesota,Inland water,2012,1106,2898,4565,1612
Minnesota,Inland water,2007,1029,7246,12169,1550
Minnesota,Great Lakes,2012,153,2023,148,73
Minnesota,Great Lakes,2007,S,S,S,S
Minnesota,Deep sea,2012,0,0,0,0
Minnesota,Deep sea,2007,S,S,S,S
Minnesota,Multiple Waterways,2012,419,5733,4570,797
Minnesota,Multiple Waterways,2007,X,X,X,X
Minnesota,Air (incl truck and air),2012,8625,58,77,1136
Minnesota,Air (incl truck and air),2007,5607,48,56,1304
Minnesota,Pipeline,2012,S,190,S,S
Minnesota,Pipeline,2007,6960,13668,S,S
Minnesota,Multiple modes,2012,46376,18707,18539,1151
Minnesota,Multiple modes,2007,57661,33796,32324,1016
Minnesota,"Parcel, U.S.P.S. or courier",2012,42373,955,826,1151
Minnesota,"Parcel, U.S.P.S. or courier",2007,49990,852,715,1015
Minnesota,Truck and rail,2012,2940,4075,4347,1289
Minnesota,Truck and rail,2007,5801,12760,10193,1239
Minnesota,Truck and water,2012,879,S,S,3417
Minnesota,Truck and water,2007,1700,17583,19218,2954
Minnesota,Rail and water,2012,185,3948,4654,1179
Minnesota,Rail and water,2007,S,S,S,S
Minnesota,Other multiple modes,2012,0,0,0,0
Minnesota,Other multiple modes,2007,S,S,S,S
Minnesota,Other modes,2012,0,0,0,0
Minnesota,Other modes,2007,4900,3220,564,81
Mississippi,All modes,2012,140334,119048,24662,424
Mississippi,All modes,2007,90753,127526,34461,711
Mississippi,Single modes,2012,131269,116017,22193,293
Mississippi,Single modes,2007,82099,120639,30340,249
Mississippi,Truck,2012,117393,106851,16410,281
Mississippi,Truck,2007,69408,85961,17894,240
Mississippi,For-hire truck,2012,62166,72515,13435,510
Mississippi,For-hire truck,2007,46436,40522,13527,591
Mississippi,Private truck,2012,55227,34335,2975,116
Mississippi,Private truck,2007,22972,45440,4367,60
Mississippi,Rail,2012,3301,7430,5201,666
Mississippi,Rail,2007,3617,7582,5440,801
Mississippi,Water,2012,7853,1593,S,S
Mississippi,Water,2007,4814,16523,5895,S
Mississippi,Inland water,2012,736,1385,S,S
Mississippi,Inland water,2007,2780,10427,3218,S
Mississippi,Deep sea,2012,S,S,S,S
Mississippi,Deep sea,2007,2034,6096,2677,345
Mississippi,Multiple Waterways,2012,S,S,S,S
Mississippi,Multiple Waterways,2007,X,X,X,X
Mississippi,Air (incl truck and air),2012,S,S,S,1007
Mississippi,Air (incl truck and air),2007,304,4,4,1085
Mississippi,Pipeline,2012,4,137,S,S
Mississippi,Pipeline,2007,3957,10568,S,S
Mississippi,Multiple modes,2012,9065,3031,2469,627
Mississippi,Multiple modes,2007,6791,5679,3786,1156
Mississippi,"Parcel, U.S.P.S. or courier",2012,7089,187,109,626
Mississippi,"Parcel, U.S.P.S. or courier",2007,3808,189,202,1155
Mississippi,Truck and rail,2012,1050,1248,1451,1063
Mississippi,Truck and rail,2007,1550,2144,1785,1160
Mississippi,Truck and water,2012,S,S,S,677
Mississippi,Truck and water,2007,S,S,S,1682
Mississippi,Rail and water,2012,S,S,S,649
Mississippi,Rail and water,2007,S,S,S,S
Mississippi,Other multiple modes,2012,0,0,0,0
Mississippi,Other multiple modes,2007,383,789,239,1408
Mississippi,Other modes,2012,0,0,0,0
Mississippi,Other modes,2007,1862,1207,335,85
Missouri,All modes,2012,242404,197077,47770,529
Missouri,All modes,2007,225954,305184,77099,494
Missouri,Single modes,2012,199887,187560,41766,162
Missouri,Single modes,2007,176493,282414,68407,171
Missouri,Truck,2012,181115,159925,26368,152
Missouri,Truck,2007,162243,229610,32641,153
Missouri,For-hire truck,2012,117976,75952,21769,396
Missouri,For-hire truck,2007,94645,93529,23773,384
Missouri,Private truck,2012,63139,83973,4600,51
Missouri,Private truck,2007,67598,136080,8868,68
Missouri,Rail,2012,8330,15789,7628,600
Missouri,Rail,2007,7221,21668,13575,670
Missouri,Water,2012,2067,11812,7726,601
Missouri,Water,2007,2966,30668,22107,602
Missouri,Inland water,2012,2032,9945,5604,539
Missouri,Inland water,2007,2966,30668,22107,602
Missouri,Multiple Waterways,2012,35,1867,2122,1142
Missouri,Multiple Waterways,2007,X,X,X,X
Missouri,Air (incl truck and air),2012,S,34,44,1096
Missouri,Air (incl truck and air),2007,S,79,72,717
Missouri,Pipeline,2012,0,0,S,S
Missouri,Pipeline,2007,S,S,S,S
Missouri,Multiple modes,2012,42517,9517,6004,739
Missouri,Multiple modes,2007,36704,13233,7178,784
Missouri,"Parcel, U.S.P.S. or courier",2012,38004,563,388,739
Missouri,"Parcel, U.S.P.S. or courier",2007,31130,933,690,784
Missouri,Truck and rail,2012,3163,4351,2946,885
Missouri,Truck and rail,2007,5322,5904,2906,795
Missouri,Truck and water,2012,1255,4328,2587,1242
Missouri,Truck and water,2007,149,5145,2494,1760
Missouri,Rail and water,2012,S,S,S,S
Missouri,Rail and water,2007,53,7,9,1353
Missouri,Other multiple modes,2012,0,0,0,0
Missouri,Other multiple modes,2007,S,S,S,S
Missouri,Other modes,2012,0,0,0,0
Missouri,Other modes,2007,S,S,S,300
Montana,All modes,2012,30561,90511,73468,479
Montana,All modes,2007,21583,85244,62620,251
Montana,Single modes,2012,28023,89654,72512,169
Montana,Single modes,2007,19274,67920,49650,167
Montana,Truck,2012,17385,24882,4602,138
Montana,Truck,2007,12699,21772,5239,118
Montana,For-hire truck,2012,8057,10265,3442,261
Montana,For-hire truck,2007,5524,7568,3362,285
Montana,Private truck,2012,9327,14617,1161,88
Montana,Private truck,2007,7175,14204,1877,82
Montana,Rail,2012,4697,59712,67405,1080
Montana,Rail,2007,3259,40923,43862,997
Montana,Air (incl truck and air),2012,1058,4,6,1798
Montana,Air (incl truck and air),2007,106,S,S,2418
Montana,Pipeline,2012,4883,5056,S,S
Montana,Pipeline,2007,3211,5224,S,S
Montana,Multiple modes,2012,2538,856,956,831
Montana,Multiple modes,2007,1975,5030,12411,S
Montana,"Parcel, U.S.P.S. or courier",2012,2267,53,45,830
Montana,"Parcel, U.S.P.S. or courier",2007,1402,42,35,S
Montana,Truck and rail,2012,266,797,903,1104
Montana,Truck and rail,2007,443,1047,1393,1316
Montana,Truck and water,2012,5,S,S,1777
Montana,Truck and water,2007,S,S,S,2627
Montana,Rail and water,2012,0,0,0,0
Montana,Rail and water,2007,41,3837,S,2822
Montana,Other modes,2012,0,0,0,0
Montana,Other modes,2007,333,S,S,56
Nebraska,All modes,2012,109147,146474,66851,436
Nebraska,All modes,2007,76148,161358,50805,895
Nebraska,Single modes,2012,99298,141619,61227,117
Nebraska,Single modes,2007,63621,156931,46702,205
Nebraska,Truck,2012,81467,88699,13489,107
Nebraska,Truck,2007,56836,131667,14568,161
Nebraska,For-hire truck,2012,55616,52178,11502,252
Nebraska,For-hire truck,2007,39669,54361,11647,360
Nebraska,Private truck,2012,25850,36521,1987,54
Nebraska,Private truck,2007,17167,S,2922,49
Nebraska,Rail,2012,17436,52818,47641,860
Nebraska,Rail,2007,6618,25212,32123,1112
Nebraska,Air (incl truck and air),2012,395,S,S,1119
Nebraska,Air (incl truck and air),2007,153,7,10,1369
Nebraska,Pipeline,2012,0,0,S,S
Nebraska,Pipeline,2007,S,S,S,S
Nebraska,Multiple modes,2012,9850,4855,5624,856
Nebraska,Multiple modes,2007,11025,3193,3658,1020
Nebraska,"Parcel, U.S.P.S. or courier",2012,7281,128,86,855
Nebraska,"Parcel, U.S.P.S. or courier",2007,9858,818,789,1020
Nebraska,Truck and rail,2012,2564,4727,5537,1102
Nebraska,Truck and rail,2007,1147,2372,2859,1177
Nebraska,Truck and water,2012,4,1,2,3421
Nebraska,Truck and water,2007,S,S,S,S
Nebraska,Other modes,2012,0,0,0,0
Nebraska,Other modes,2007,1503,1234,444,88
Nevada,All modes,2012,69591,40254,10176,975
Nevada,All modes,2007,53126,62780,9531,864
Nevada,Single modes,2012,55390,39749,9443,470
Nevada,Single modes,2007,42251,59717,8517,181
Nevada,Truck,2012,48866,38179,7514,430
Nevada,Truck,2007,41574,58724,7751,143
Nevada,For-hire truck,2012,33439,18161,6143,855
Nevada,For-hire truck,2007,24182,15117,5910,654
Nevada,Private truck,2012,15428,20018,1371,47
Nevada,Private truck,2007,17392,43607,1841,43
Nevada,Rail,2012,S,1556,1899,1263
Nevada,Rail,2007,47,964,723,713
Nevada,Air (incl truck and air),2012,3457,15,30,1665
Nevada,Air (incl truck and air),2007,630,S,43,1675
Nevada,Multiple modes,2012,14201,505,733,1300
Nevada,Multiple modes,2007,9783,1005,947,1392
Nevada,"Parcel, U.S.P.S. or courier",2012,14091,259,232,1299
Nevada,"Parcel, U.S.P.S. or courier",2007,9577,274,300,1391
Nevada,Truck and rail,2012,61,142,133,2181
Nevada,Truck and rail,2007,50,649,400,1052
Nevada,Truck and water,2012,S,S,S,3512
Nevada,Truck and water,2007,150,36,98,2767
Nevada,Rail and water,2012,0,0,0,0
Nevada,Rail and water,2007,3,46,148,3240
Nevada,Other multiple modes,2012,0,0,0,0
Nevada,Other multiple modes,2007,S,S,S,S
Nevada,Other modes,2012,0,0,0,0
Nevada,Other modes,2007,1092,S,68,S
New Hampshire,All modes,2012,42805,26554,3474,661
New Hampshire,All modes,2007,38482,32678,3311,732
New Hampshire,Single modes,2012,34013,26415,3354,161
New Hampshire,Single modes,2007,27760,30351,2913,226
New Hampshire,Truck,2012,32443,26404,3344,145
New Hampshire,Truck,2007,24286,30334,2891,199
New Hampshire,For-hire truck,2012,14790,8379,2627,512
New Hampshire,For-hire truck,2007,12393,11924,2135,671
New Hampshire,Private truck,2012,17653,18025,717,49
New Hampshire,Private truck,2007,11893,18410,757,56
New Hampshire,Rail,2012,S,S,S,S
New Hampshire,Rail,2007,9,5,11,1784
New Hampshire,Air (incl truck and air),2012,1570,9,10,1078
New Hampshire,Air (incl truck and air),2007,3465,11,11,1118
New Hampshire,Multiple modes,2012,8792,139,120,1097
New Hampshire,Multiple modes,2007,10156,S,305,1234
New Hampshire,"Parcel, U.S.P.S. or courier",2012,8593,81,84,1098
New Hampshire,"Parcel, U.S.P.S. or courier",2007,10035,140,127,1236
New Hampshire,Truck and rail,2012,191,S,36,S
New Hampshire,Truck and rail,2007,S,S,S,S
New Hampshire,Truck and water,2012,7,1,Z,244
New Hampshire,Truck and water,2007,67,S,S,749
New Hampshire,Other modes,2012,0,0,0,0
New Hampshire,Other modes,2007,566,1558,93,S
New Jersey,All modes,2012,450795,219863,35599,597
New Jersey,All modes,2007,422581,230155,37087,624
New Jersey,Single modes,2012,368872,217063,33656,249
New Jersey,Single modes,2007,336605,213664,29447,240
New Jersey,Truck,2012,338763,187592,30544,229
New Jersey,Truck,2007,303512,173566,23719,225
New Jersey,For-hire truck,2012,218985,90316,27073,528
New Jersey,For-hire truck,2007,191416,72036,18989,617
New Jersey,Private truck,2012,119778,97276,3471,39
New Jersey,Private truck,2007,112096,101529,4730,41
New Jersey,Rail,2012,3910,3576,2785,811
New Jersey,Rail,2007,3393,5477,5028,1123
New Jersey,Water,2012,6362,11963,207,S
New Jersey,Water,2007,S,S,S,59
New Jersey,Inland water,2012,4465,6949,S,S
New Jersey,Inland water,2007,S,S,S,S
New Jersey,Deep sea,2012,S,S,S,S
New Jersey,Deep sea,2007,466,225,14,75
New Jersey,Multiple Waterways,2012,S,S,S,S
New Jersey,Multiple Waterways,2007,X,X,X,X
New Jersey,Air (incl truck and air),2012,9811,147,67,962
New Jersey,Air (incl truck and air),2007,9466,S,148,1112
New Jersey,Pipeline,2012,S,S,S,S
New Jersey,Pipeline,2007,11716,17598,S,S
New Jersey,Multiple modes,2012,81924,2801,1943,803
New Jersey,Multiple modes,2007,76073,13466,6245,882
New Jersey,"Parcel, U.S.P.S. or courier",2012,80091,1195,858,803
New Jersey,"Parcel, U.S.P.S. or courier",2007,68973,1534,1136,881
New Jersey,Truck and rail,2012,1676,1522,S,635
New Jersey,Truck and rail,2007,2473,1297,3092,1392
New Jersey,Truck and water,2012,156,S,S,3469
New Jersey,Truck and water,2007,1585,S,S,2440
New Jersey,Rail and water,2012,0,0,0,0
New Jersey,Rail and water,2007,S,S,S,S
New Jersey,Other multiple modes,2012,0,0,0,0
New Jersey,Other multiple modes,2007,3042,8984,943,86
New Jersey,Other modes,2012,0,0,0,0
New Jersey,Other modes,2007,9903,3025,S,144
New Mexico,All modes,2012,48793,48681,7472,339
New Mexico,All modes,2007,31388,62650,9470,478
New Mexico,Single modes,2012,45526,41944,6871,159
New Mexico,Single modes,2007,24552,48874,8059,123
New Mexico,Truck,2012,35265,27264,4906,145
New Mexico,Truck,2007,20285,25253,4041,109
New Mexico,For-hire truck,2012,18212,6619,3169,443
New Mexico,For-hire truck,2007,8632,7659,2681,440
New Mexico,Private truck,2012,17053,20645,1736,82
New Mexico,Private truck,2007,11653,17594,1360,73
New Mexico,Rail,2012,1338,14674,1957,888
New Mexico,Rail,2007,1404,S,3719,731
New Mexico,Water,2012,0,0,0,0
New Mexico,Water,2007,S,S,S,S
New Mexico,Inland water,2012,0,0,0,0
New Mexico,Inland water,2007,S,S,S,S
New Mexico,Air (incl truck and air),2012,S,5,8,1673
New Mexico,Air (incl truck and air),2007,849,2,3,1423
New Mexico,Pipeline,2012,0,0,S,S
New Mexico,Pipeline,2007,2015,1646,S,S
New Mexico,Multiple modes,2012,2947,724,S,711
New Mexico,Multiple modes,2007,5718,S,S,1008
New Mexico,"Parcel, U.S.P.S. or courier",2012,2589,45,28,711
New Mexico,"Parcel, U.S.P.S. or courier",2007,5582,62,55,1007
New Mexico,Truck and rail,2012,S,S,S,642
New Mexico,Truck and rail,2007,116,S,S,1236
New Mexico,Truck and water,2012,S,S,10,3330
New Mexico,Truck and water,2007,S,S,S,7933
New Mexico,Rail and water,2012,S,S,S,S
New Mexico,Rail and water,2007,0,0,0,0
New Mexico,Other modes,2012,S,S,S,S
New Mexico,Other modes,2007,1118,S,S,S
New York,All modes,2012,545050,317630,42457,537
New York,All modes,2007,549674,335782,73793,443
New York,Single modes,2012,436967,313386,38192,197
New York,Single modes,2007,408041,319128,56176,154
New York,Truck,2012,416636,307907,35281,178
New York,Truck,2007,394628,310977,52917,127
New York,For-hire truck,2012,239728,127751,28335,487
New York,For-hire truck,2007,200253,117826,41997,545
New York,Private truck,2012,176908,180156,6946,33
New York,Private truck,2007,194375,193151,10919,45
New York,Rail,2012,2425,4513,2704,611
New York,Rail,2007,2759,6410,3144,717
New York,Water,2012,0,0,0,0
New York,Water,2007,S,S,S,S
New York,Inland water,2012,0,0,0,0
New York,Inland water,2007,S,S,S,S
New York,Air (incl truck and air),2012,16915,199,169,1221
New York,Air (incl truck and air),2007,10293,93,108,1193
New York,Pipeline,2012,S,767,S,S
New York,Pipeline,2007,S,1624,S,S
New York,Multiple modes,2012,108083,4244,4265,773
New York,Multiple modes,2007,127459,11018,S,710
New York,"Parcel, U.S.P.S. or courier",2012,104078,1473,1119,773
New York,"Parcel, U.S.P.S. or courier",2007,119215,1943,1505,710
New York,Truck and rail,2012,2581,2585,3036,1113
New York,Truck and rail,2007,6101,5779,S,1093
New York,Truck and water,2012,S,S,S,S
New York,Truck and water,2007,1924,S,S,2006
New York,Rail and water,2012,0,0,0,0
New York,Rail and water,2007,S,S,15,S
New York,Other multiple modes,2012,0,0,0,0
New York,Other multiple modes,2007,210,S,85,692
New York,Other modes,2012,0,0,0,0
New York,Other modes,2007,14174,S,673,110
North Carolina,All modes,2012,385732,220669,47304,573
North Carolina,All modes,2007,363549,267770,52366,463
North Carolina,Single modes,2012,348747,214998,43279,276
North Carolina,Single modes,2007,321289,258844,46632,232
North Carolina,Truck,2012,336156,205443,37270,253
North Carolina,Truck,2007,311617,248060,41290,216
North Carolina,For-hire truck,2012,231911,103848,31451,416
North Carolina,For-hire truck,2007,197509,136806,33330,529
North Carolina,Private truck,2012,104245,101595,5819,55
North Carolina,Private truck,2007,114108,111254,7960,69
North Carolina,Rail,2012,3737,9202,5875,741
North Carolina,Rail,2007,4235,10721,5232,244
North Carolina,Water,2012,0,0,0,0
North Carolina,Water,2007,S,S,S,S
North Carolina,Deep sea,2012,0,0,0,0
North Carolina,Deep sea,2007,S,S,S,S
North Carolina,Air (incl truck and air),2012,8796,83,131,1200
North Carolina,Air (incl truck and air),2007,5399,62,110,775
North Carolina,Pipeline,2012,S,S,S,S
North Carolina,Pipeline,2007,0,0,S,S
